uuid,filename,SessionDuration_seconds,NumFlows,MaxBandwidth_Mbps,MeanBandwidth_Mbps,MinBandwidth_Mbps,StdBandwidth_Mbps,MaxPacingRate_Mbps,MeanPacingRate_Mbps,MinRTT_ms,MaxRTT_ms,MeanRTT_ms,StdRTT_ms,MaxCwnd_packets,MeanCwnd_packets,MaxRcvWindow_bytes,MeanRcvWindow_bytes,TotalBytesAcked_bytes,TotalBytesSent_bytes,TotalBytesReceived_bytes,TotalRetransmissions_count,LossRate_percent,MaxDeliveryRate_Mbps,MeanDeliveryRate_Mbps,TotalBusyTime_microseconds,MaxThroughput_Mbps,MeanThroughput_Mbps,MinThroughput_Mbps,StdThroughput_Mbps
ndt-virtual-rgrwr_1701649381_00000000008A92AB,01_ndt7-download-20240101T054429.651658814Z.ndt-virtual-rgrwr_1701649381_00000000008A92AB.json,11.662363,19,7.907121,6.322935263157895,0.247862,1.5098761533441234,22.597379,6.893211999999999,9.001,364.932,76.89078947368421,8.915105263157892,234,156.47368421052633,14000,14000.0,206545166,211952814,39098,23,0.8604896370944147,7.907163,3.3813587368421056,108636000,18.23887619483796,14.009057697136393,0.31068289588933523,4.009682023012821
ndt-virtual-rgrwr_1701649381_00000000008A5D4C,01_ndt7-download-20240101T054429.895208602Z.ndt-virtual-rgrwr_1701649381_00000000008A5D4C.json,10.291323,31,12.893646,9.407681419354839,1.691307,2.7690185566709347,15.161603,9.458932129032258,24.073,221.16,89.35583870967743,4.1826451612903215,1320,909.0645161290323,14200,14200.0,1088108342,1115618742,73744,0,0.012368383104843894,11.821826,6.746427548387097,168284000,57.297391000193514,45.87036462907274,7.252409214539577,12.020223021362497
ndt-virtual-rgrwr_1701649381_00000000008A83EF,01_ndt7-download-20240101T054430.429307931Z.ndt-virtual-rgrwr_1701649381_00000000008A83EF.json,10.249563,27,18.598838,6.721571962962963,0.173637,3.6660930574812958,18.41285,6.74970737037037,67.0,71.361,68.87666666666667,0.4697777777777777,944,594.7777777777778,14200,14200.0,776812942,921134862,60138,860,13.15409729872975,6.831266,5.399959851851851,142956000,45.74270216217282,39.85501445303513,1.2709768199659335,10.987128785441223
ndt-virtual-rgrwr_1701649381_00000000008A3E32,01_ndt7-download-20240101T054431.019268068Z.ndt-virtual-rgrwr_1701649381_00000000008A3E32.json,10.5708,19,4.099416,3.0597493684210524,1.761017,0.6623450070916064,4.833458,2.914867894736842,14.641,106.394,51.76599999999999,11.689526315789474,356,257.3157894736842,14000,14000.0,200259266,208331874,44657,11,2.171291369461785,4.099418,2.137369,92840000,19.68424139982402,15.675959090351975,9.587866413883622,3.028034705662578
ndt-virtual-rgrwr_1701649381_00000000008A92B0,01_ndt7-download-20240101T054431.572214918Z.ndt-virtual-rgrwr_1701649381_00000000008A92B0.json,1.975304,4,9.643467,3.956727,0.0,3.615699300351109,12.218313,7.191370750000001,19.036,114.479,51.23074999999999,12.0075,262,150.75,14200,14200.0,5472328,6887604,11583,136,3.4636137617667915,3.538606,1.8146927499999999,2980000,23.85619130653489,9.705436116955582,1.4564007421150278,8.703400598226418
ndt-virtual-rgrwr_1701649381_00000000008A83F1,01_ndt7-download-20240101T054431.957557494Z.ndt-virtual-rgrwr_1701649381_00000000008A83F1.json,10.476588,29,45.221724,11.587037827586208,7.930382,9.165338796509294,129.236976,14.85544520689655,17.491,39.869,32.60282758620689,13.668310344827587,2171,543.6206896551724,14200,14200.0,883564238,889901586,64603,0,0.0,8.842741,3.1084862413793104,145172000,108.60141292829388,53.515845385038354,47.630660547492006,13.285919311549351
ndt-virtual-rgrwr_1701649381_00000000008A3E31,01_ndt7-download-20240101T054432.748951885Z.ndt-virtual-rgrwr_1701649381_00000000008A3E31.json,12.573997,10,7.17765,1.8087777000000003,0.343883,1.8175300880213812,20.51266,3.2373008000000008,83.0,87.212,85.49170000000001,0.8745,172,134.3,14200,14200.0,65040380,86495380,12448,207,21.72462852929255,1.236544,1.1248815,51852000,11.198432076587704,9.72868027764341,1.7276005702943726,2.689217522971043
ndt-virtual-rgrwr_1701649381_00000000008A83F0,01_ndt7-download-20240101T054432.808493973Z.ndt-virtual-rgrwr_1701649381_00000000008A83F0.json,12.160693,18,8.484146,8.018749055555553,6.776977,0.6657341171488371,24.24643,9.400393388888888,47.075,852.928,319.84777777777776,33.839555555555556,946,859.7777777777778,14200,14200.0,280784152,301381912,43882,74,0.5110963659955811,8.260921,3.217480777777778,98580000,33.3467158787704,24.39180534041381,21.547811295624197,3.4057720926324397
ndt-virtual-rgrwr_1701649381_00000000008A74E5,01_ndt7-download-20240101T054434.047985142Z.ndt-virtual-rgrwr_1701649381_00000000008A74E5.json,10.37252,32,12.664134,12.314058093749999,12.090284,0.17490027120429225,15.671866,12.48260353125,15.926,35.18,23.7895,0.35425,360,321.375,14200,14200.0,1761842032,1770669676,73292,0,0.0,11.992961,11.279474,168192000,86.25157466539454,79.67571948218668,34.932309845142136,11.34883668325118
ndt-virtual-rgrwr_1701649381_00000000008A92AE,01_ndt7-download-20240101T054434.096570066Z.ndt-virtual-rgrwr_1701649381_00000000008A92AE.json,10.782614,20,10.4691,6.665996850000001,4.690391,1.5255031833029151,29.918416,7.4515667500000005,7.855,198.116,56.60509999999999,5.024099999999999,510,327.05,14200,14200.0,365358320,417571184,44898,421,10.587366584184602,7.743932,4.0859685,99216000,40.01024487918885,30.487937238221285,21.94338434393493,4.171685323063593
ndt-virtual-rgrwr_1701649381_00000000008A5D4D,01_ndt7-download-20240101T054434.265315492Z.ndt-virtual-rgrwr_1701649381_00000000008A5D4D.json,11.78051,10,0.726608,0.5918438,0.0,0.2226436795351712,2.026651,0.7202119000000001,13.145,578.286,182.55329999999998,86.14860000000002,62,43.7,14200,14200.0,5671488,7066660,19299,12,12.752615804354534,0.714497,0.2874231,42708000,1.739812735426009,0.9129312849869275,0.13278032469839865,0.5257137898821995
ndt-virtual-rgrwr_1701649381_00000000008A5D4F,01_ndt7-download-20240101T054435.678947633Z.ndt-virtual-rgrwr_1701649381_00000000008A5D4F.json,10.065364,43,95.777134,81.22822495348836,0.625863,16.852104510796124,118.524203,79.27783523255813,14.328,82.941,33.73483720930233,2.9951860465116282,3930,3120.2093023255816,14200,14200.0,13040251384,13473940497,118542,1039,2.4080075021278313,93.842319,57.045458279069756,227696000,483.77163068278486,425.8838737859975,3.258621617259375,93.54807205052332
ndt-virtual-rgrwr_1701649381_00000000008A2EE7,01_ndt7-download-20240101T054436.144335970Z.ndt-virtual-rgrwr_1701649381_00000000008A2EE7.json,5.828138,4,1.404185,0.834104,0.607955,0.3320963422156287,1.737447,1.39354875,48.816,247.94,166.27175,37.4505,196,121.0,14000,14000.0,2721448,3259072,6978,0,0.25185083361153116,0.851733,0.56862225,6568000,4.178760268648145,3.297058377713805,2.404566426272309,0.6371759431350628
ndt-virtual-rgrwr_1701649381_00000000008A92AD,01_ndt7-download-20240101T054436.728774391Z.ndt-virtual-rgrwr_1701649381_00000000008A92AD.json,13.909166,24,63.642825,48.44552058333333,1.07195,17.220018240669884,175.248203,93.37974029166666,39.855,181.572,80.87516666666666,6.654166666666666,6350,4035.8333333333335,14000,14000.0,2338784091,2401937468,52798,1,0.00246667537308261,63.642841,42.63552308333333,82700000,257.1353165860017,191.8606702084062,4.48182195599312,74.07676019399278
ndt-virtual-rgrwr_1701649381_00000000008A3E33,01_ndt7-download-20240101T054437.308015588Z.ndt-virtual-rgrwr_1701649381_00000000008A3E33.json,10.095835,9,1.056543,0.8808051111111111,0.1989,0.2646679424114696,3.019444,1.0562814444444446,50.403,481.027,251.90455555555556,53.147999999999996,194,131.33333333333334,14200,14200.0,19337472,20439392,17781,0,0.0,1.056561,0.549562888888889,37204000,4.835036822075675,4.150895060046069,0.9957445169737932,1.1300740104389497
ndt-virtual-rgrwr_1701649381_00000000008A92AF,01_ndt7-download-20240101T054437.524645965Z.ndt-virtual-rgrwr_1701649381_00000000008A92AF.json,10.255012,18,1.04279,0.7135760000000001,0.0,0.2580488278252781,1.555418,0.7719982777777779,69.236,474.382,180.85716666666667,18.004722222222224,162,114.0,14000,14000.0,37025502,39035222,35571,0,0.0,0.900381,0.5392386111111112,67140000,5.040516913393295,3.964140321652301,0.8943070073096978,1.073658382072589
ndt-virtual-rgrwr_1701649381_00000000008A6D0C,01_ndt7-download-20240101T054437.581541133Z.ndt-virtual-rgrwr_1701649381_00000000008A6D0C.json,10.058196,29,26.911153,21.22941596551724,15.981143,3.425661525788604,61.806813,23.208162517241384,15.725,319.892,104.11386206896552,18.130137931034483,2194,1726.3103448275863,14000,14000.0,2067357832,2116842167,67840,2,0.01490711045534459,25.31379,13.68647796551724,164804000,115.12718571665127,97.60492321095747,57.08343347847877,10.681389222634687
ndt-virtual-rgrwr_1701649381_00000000008A2EE9,01_ndt7-download-20240101T054437.602153827Z.ndt-virtual-rgrwr_1701649381_00000000008A2EE9.json,3.70887,11,12.632343,12.458740090909089,12.096232,0.14647390451076298,15.63117,11.774415454545455,5.975,15.245,11.440454545454546,0.36290909090909096,154,143.27272727272728,14200,14200.0,205914366,207357502,21171,0,0.0,11.807788,9.338652363636363,20972000,81.19416391388877,79.19625145864045,78.0135206497534,0.9739290515994756
ndt-virtual-rgrwr_1701649381_00000000008A5D51,01_ndt7-download-20240101T054437.827699370Z.ndt-virtual-rgrwr_1701649381_00000000008A5D51.json,10.170164,36,37.84288,13.572490055555555,0.179595,10.098108363819321,108.149334,21.90132116666667,62.0,100.078,67.09958333333333,1.3672222222222221,2292,939.9444444444445,14200,14200.0,1868798876,2369518945,90508,2913,19.255019376939398,37.842929,11.169716722222223,188284000,95.2539678438608,73.44928973121992,1.6263829988864933,24.653986631653474
ndt-virtual-rgrwr_1701649381_00000000008A5D54,01_ndt7-download-20240101T054438.417737012Z.ndt-virtual-rgrwr_1701649381_00000000008A5D54.json,6.1897780000000004,26,71.793962,65.70544884615384,53.791137,5.513137280542496,187.182439,80.78771165384615,24.347,122.107,41.70176923076922,3.152961538461538,3932,3324.4615384615386,14000,14000.0,3829122964,3875879874,58510,2,0.0054831420711879365,69.55948,43.34749965384616,90688000,362.19442176978686,333.53514426413653,135.37340338733395,44.96881309666892
ndt-virtual-rgrwr_1701649381_00000000008A2EE5,01_ndt7-download-20240101T054438.693166759Z.ndt-virtual-rgrwr_1701649381_00000000008A2EE5.json,10.308374,34,14.036682,9.39637511764706,2.733634,3.0615754107180693,17.204225,9.134181058823529,2.907,18.101,12.135970588235296,1.325323529411765,208,115.76470588235294,14200,14200.0,1201278288,1311691472,84414,177,7.989654445203254,11.146344,6.967865205882353,179324000,72.31351355419986,54.30484911558857,14.615714626201637,9.069490344977602
ndt-virtual-rgrwr_1701649381_00000000008A83F9,01_ndt7-download-20240101T054438.765169410Z.ndt-virtual-rgrwr_1701649381_00000000008A83F9.json,3.755235,9,5.48258,3.568488,0.0,2.1732233280168574,11.752505,5.025073222222222,32.12,259.402,117.82344444444445,7.721,686,407.3333333333333,14000,14000.0,37326642,41307844,16380,0,0.0,4.580923,2.7281546666666667,13228000,26.807190114817157,16.08552297245732,1.482029353981278,10.207211993591855
ndt-virtual-rgrwr_1701649381_00000000008A74E6,01_ndt7-download-20240101T054439.540890760Z.ndt-virtual-rgrwr_1701649381_00000000008A74E6.json,15.00023,11,0.585847,0.44798600000000005,0.257702,0.12111011324860906,0.736475,0.5260884545454546,35.848,1219.724,244.3099090909091,109.4138181818182,84,67.45454545454545,14000,14000.0,7806654,8567966,21561,0,1.17073293708215,0.514831,0.2999407272727273,38144000,2.4002745112990813,1.7357845956244844,1.1529304275387633,0.35374538404548383
ndt-virtual-rgrwr_1701649381_00000000008A3E35,01_ndt7-download-20240101T054440.430357184Z.ndt-virtual-rgrwr_1701649381_00000000008A3E35.json,10.215526,25,8.952975,7.44240952,3.414797,1.408665012639304,24.056439,9.58002376,65.185,232.75,111.65392,4.83352,1492,981.32,14000,14000.0,659002922,776467250,55402,1524,10.990779070205473,8.332174,4.83000864,132696000,44.56117236527759,37.09141640095261,7.988755170220993,8.613283259099735
ndt-virtual-rgrwr_1701649381_00000000008A6D10,01_ndt7-download-20240101T054440.657044784Z.ndt-virtual-rgrwr_1701649381_00000000008A6D10.json,3.736251,9,7.253209,4.962318555555555,3.700128,1.274937873626538,13.699552,6.902436333333333,20.387,157.772,59.46188888888889,3.444666666666667,342,250.33333333333334,14000,14000.0,53494806,55583634,18011,1,0.050813518238120234,7.183012,3.8753083333333334,17488000,28.717699443229023,22.7447829870608,14.291860910980606,4.236400633033822
