BW,MinRTT,PacingGain,CwndGain,ElapsedTime,State,CAState,Retransmits,Probes,Backoff,Options,WScale,AppLimited,RTO,ATO,SndMSS,RcvMSS,Unacked,Sacked,Lost,Retrans,Fackets,LastDataSent,LastAckSent,LastDataRecv,LastAckRecv,PMTU,RcvSsThresh,RTT,RTTVar,SndSsThresh,SndCwnd,AdvMSS,Reordering,RcvRTT,RcvSpace,TotalRetrans,PacingRate,MaxPacingRate,BytesAcked,BytesReceived,SegsOut,SegsIn,NotsentBytes,DataSegsIn,DataSegsOut,DeliveryRate,BusyTime,RWndLimited,SndBufLimited,Delivered,DeliveredCE,BytesSent,BytesRetrans,DSackDups,ReordSeen,RcvOooPack,SndWnd,UUID,Throughput_DeliveryRate,Throughput_BytesAcked,Throughput_SegsOut,Latency,LossRatio,Retransmit_Ratio,Escape_Time,Throughput_Mean,Latency_Mean,Loss_Trend
71495255,29504,739,739,4.818497,1,3,0,0,0,7,118,1,256000,40000,1448,1139,2570,604,217,217,0,8,0,240,0,1500,64076,55593,3317,2147483647,2351,1448,3,0,14600,18102,208422465,-1,205608836,2721,163021,2454,0,37,163007,63872079,4856000,4000,0,142971,0,235532658,26211696,31,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,510.976632,341.36592551577803,391.913757339685,29.504,0.0778335724533716,0.9954128440366973,1.706894,414.75210495182097,29.504,0.0778335724533716
71495255,29504,739,739,5.17336,1,3,0,0,0,7,118,1,260000,40000,1448,1139,2468,2458,10,10,0,16,0,256,16,1500,64076,58305,5921,2147483647,2732,1448,3,0,14600,19346,208422465,-1,218963606,2812,173406,2682,0,40,173391,63872079,5212000,4000,0,154067,0,250541020,28013008,31,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,510.976632,338.60176906304605,388.2844232761687,29.504,0.004033884630899556,0.9090909090909091,1.706894,412.6209414464049,29.504,-0.07379968782247204
32724102,29504,739,739,5.301475,1,3,0,0,0,7,118,1,260000,40000,1448,1139,2519,278,987,420,0,16,0,48,16,1500,64076,59947,4223,2147483647,1674,1448,3,0,14600,19766,208422465,-1,224784669,2903,177909,2702,0,43,177893,32724137,5340000,4000,0,155918,0,257043571,28621168,31,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,261.793096,339.20321269080773,388.7404648706256,29.504,0.281437125748503,0.4251012145748988,1.706894,329.9122578538111,29.504,0.27740324111760345
63579129,29504,739,739,5.393406,1,0,0,0,0,7,118,1,244000,40000,1448,1139,2813,0,0,0,0,24,0,140,4,1500,64076,40217,1682,2147483647,4649,1448,3,0,14600,20378,208422465,-1,228489621,2903,181383,2792,0,43,181367,63579159,5432000,4000,0,158240,0,262059320,29507344,63,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,508.633272,338.916997533655,389.57583983108265,29.504,0.0,0.0,1.706894,412.3753697882459,29.504,-0.281437125748503
63579129,29504,739,739,6.019442,1,3,0,0,0,7,118,1,248000,40000,1448,1139,2351,1508,158,158,0,28,0,508,4,1500,64076,44317,5266,2147483647,2207,1448,3,0,14600,23195,208422465,-1,256242157,3085,202949,3170,0,49,202932,62707361,6056000,4000,0,178958,0,293218643,33586360,63,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,501.658888,340.55270505139845,390.5613204679105,29.504,0.06294820717131475,0.9937106918238994,1.706894,410.92430450643633,29.504,0.06294820717131475
0,34035,0,0,0.052131,1,0,0,0,0,7,122,1,240000,40000,1318,1118,10,0,0,0,0,52,0,52,96,1500,64076,37727,11404,2147483647,10,1448,3,44000,14600,0,998394,-1,3311,1766,15,8,35586,3,13,88943,96000,0,0,4,0,15133,0,0,0,0,73728,ndt-88lvq_1732662732_00000000003CC9C4,0.711544,0.5081045826859258,3.0338953789491856,34.035,0.0,0.0,0.426377,1.4178479872117038,34.035,0.0
165052,34035,739,739,0.341101,1,0,0,0,0,7,122,0,400000,40000,1318,1118,20,0,0,0,0,92,0,344,92,1500,64076,89983,13616,2147483647,20,1448,3,44000,14600,0,998394,-1,33585,1766,49,29,50084,3,47,100216,388000,0,0,28,0,59945,0,0,0,0,137216,ndt-88lvq_1732662732_00000000003CC9C4,0.801728,0.7876845860903369,1.5146716075297346,34.035,0.0,0.0,0.426377,1.0346947312066905,34.035,0.0
165052,34035,739,739,0.426377,1,0,0,0,0,7,122,0,404000,40000,1318,1118,19,0,0,0,0,64,0,428,64,1500,64076,122525,46474,2147483647,20,1448,3,44000,14600,0,998394,-1,38857,1766,52,33,133118,3,50,116351,472000,0,0,32,0,63899,0,0,0,0,147456,ndt-88lvq_1732662732_00000000003CC9C4,0.930808,0.7290637159133818,1.2859230211760952,34.035,0.0,0.0,0.426377,0.9819315790298256,34.035,0.0
183356,34035,88,739,1.821374,1,0,0,0,0,7,122,0,960000,40000,1318,1118,20,0,0,0,0,4,0,128,32,1500,64076,299094,20123,12,29,1448,3,44000,14600,3,62398,-1,148251,1860,139,105,119938,5,137,72205,1868000,0,0,115,0,178565,3954,0,0,0,366592,ndt-88lvq_1732662732_00000000003CC9C4,0.57764,0.6511611563577826,0.8046760302936135,34.035,0.0,0.0,0.426377,0.6778257288837987,34.035,0.0
183356,34035,256,512,2.041137,1,0,0,0,0,7,122,0,736000,40000,1318,1118,16,0,0,0,0,12,0,348,12,1500,64076,191592,34380,12,30,1448,3,44000,14600,4,181522,-1,178565,1860,160,129,225378,6,157,52942,2088000,0,0,138,0,203607,5272,0,0,0,427008,ndt-88lvq_1732662732_00000000003CC9C4,0.423536,0.6998648302392245,0.8265197289549893,34.035,0.0,0.0,0.426377,0.6499735197314046,34.035,0.0
